state,year,people_in_prison,crimes_reported
A & N ISLANDS,2005,224,682
A & N ISLANDS,2004,221,748
A & N ISLANDS,2001,383,658
A & N ISLANDS,2006,346,676
A & N ISLANDS,2008,221,882
A & N ISLANDS,2007,413,807
A & N ISLANDS,2012,1126,683
A & N ISLANDS,2011,1119,793
UTTAR PRADESH,2002,52225,146037
UTTAR PRADESH,2009,83805,172884
UTTAR PRADESH,2003,50531,95073
UTTAR PRADESH,2013,83518,0
UTTAR PRADESH,2010,82673,174179
UTTAR PRADESH,2005,56718,122108
UTTAR PRADESH,2004,51706,130181
UTTAR PRADESH,2001,53296,178129
UTTAR PRADESH,2006,66669,127001
UTTAR PRADESH,2008,80809,168996
UTTAR PRADESH,2007,76180,150258
UTTAR PRADESH,2012,80311,198093
UTTAR PRADESH,2011,82383,195135
CHHATISGARH,2013,15840,0
RAJASTHAN,2002,12386,151248
RAJASTHAN,2009,17932,166565
RAJASTHAN,2003,12695,145579
RAJASTHAN,2013,19293,0
RAJASTHAN,2010,17194,162957
RAJASTHAN,2005,12993,140917
RAJASTHAN,2004,13171,154859
RAJASTHAN,2001,12995,155185
RAJASTHAN,2006,13983,141992
RAJASTHAN,2008,15520,151174
RAJASTHAN,2007,14687,148870
RAJASTHAN,2012,19351,170948
RAJASTHAN,2011,18104,165622
UTTARANCHAL,2002,2359,0
UTTARANCHAL,2009,3507,0
UTTARANCHAL,2003,2431,0
UTTARANCHAL,2013,3845,0
UTTARANCHAL,2010,3543,0
UTTARANCHAL,2005,2350,0
UTTARANCHAL,2004,2365,0
UTTARANCHAL,2001,2290,0
UTTARANCHAL,2006,2644,0
UTTARANCHAL,2008,3234,0
UTTARANCHAL,2007,2709,0
UTTARANCHAL,2012,3535,0
UTTARANCHAL,2011,3261,0
ARUNACHAL PRADESH,2002,0,2228
ARUNACHAL PRADESH,2009,62,2362
ARUNACHAL PRADESH,2003,0,2061
ARUNACHAL PRADESH,2013,92,0
ARUNACHAL PRADESH,2010,57,2439
ARUNACHAL PRADESH,2005,0,2304
ARUNACHAL PRADESH,2004,0,2256
ARUNACHAL PRADESH,2001,0,2342
ARUNACHAL PRADESH,2006,0,2294
ARUNACHAL PRADESH,2008,0,2374
ARUNACHAL PRADESH,2007,0,2286
ARUNACHAL PRADESH,2012,71,2420
ARUNACHAL PRADESH,2011,55,2286
WEST BENGAL,2002,18743,58962
WEST BENGAL,2009,17586,113036
WEST BENGAL,2003,16289,61174
WEST BENGAL,2013,22778,0
WEST BENGAL,2010,18519,129616
WEST BENGAL,2005,18158,66406
WEST BENGAL,2004,16319,69350
WEST BENGAL,2001,12347,61563
WEST BENGAL,2006,18193,68052
WEST BENGAL,2008,20230,105419
WEST BENGAL,2007,18598,81102
WEST BENGAL,2012,20431,161427
WEST BENGAL,2011,19508,143197
CHANDIGARH,2002,456,3806
CHANDIGARH,2009,643,3555
CHANDIGARH,2003,525,2806
CHANDIGARH,2013,661,0
CHANDIGARH,2010,640,3373
CHANDIGARH,2005,455,3133
CHANDIGARH,2004,549,2889
CHANDIGARH,2001,426,3397
CHANDIGARH,2006,438,3126
CHANDIGARH,2008,526,3931
CHANDIGARH,2007,501,3643
CHANDIGARH,2012,734,3606
CHANDIGARH,2011,626,3542
